timestamps,TP9,AF7,AF8,TP10,Right AUX
1606398311.235,-27.344,-23.926,-29.297,-29.785,0.000
1606398311.239,-25.391,-27.832,-27.344,-28.320,0.000
1606398311.243,-31.250,-42.969,-30.762,-25.879,0.000
1606398311.247,-34.668,-54.688,-37.109,-27.832,0.000
1606398311.251,-33.691,-21.973,-37.109,-22.949,0.000
1606398311.254,-28.809,-11.719,-28.320,-20.996,0.000
1606398311.258,-25.879,-32.715,-29.785,-15.137,0.000
1606398311.262,-32.227,-30.762,-30.762,-14.648,0.000
1606398311.266,-38.574,-23.438,-24.414,-21.973,0.000
1606398311.270,-22.949,-58.594,-20.508,-12.207,0.000
1606398311.274,-14.160,-57.617,-30.273,-9.766,0.000
1606398311.278,-22.949,-14.648,-39.551,-19.531,0.000
1606398311.282,-30.762,-8.789,-39.551,-27.832,0.000
1606398311.286,-33.691,-21.484,-41.016,-30.762,0.000
1606398311.290,-31.250,-25.391,-37.598,-20.996,0.000
1606398311.293,-25.391,-22.461,-27.832,-20.020,0.000
1606398311.297,-19.531,-28.320,-27.832,-24.902,0.000
1606398311.301,-28.809,-42.969,-26.855,-20.996,0.000
1606398311.305,-41.504,-39.551,-19.043,-21.484,0.000
1606398311.309,-36.621,-21.973,-21.484,-20.996,0.000
1606398311.313,-22.461,-17.578,-26.855,-13.672,0.000
1606398311.317,-18.555,-38.574,-29.297,-7.324,0.000
1606398311.321,-31.250,-34.668,-36.133,-17.578,0.000
1606398311.325,-40.527,-19.043,-39.062,-24.414,0.000
1606398311.329,-33.691,-25.879,-35.156,-20.996,0.000
1606398311.333,-19.531,-41.016,-19.043,-18.066,0.000
1606398311.336,-14.648,-41.016,-12.207,-18.066,0.000
1606398311.340,-25.879,-21.973,-18.066,-23.926,0.000
1606398311.344,-36.133,-13.672,-22.949,-28.320,0.000
1606398311.348,-27.832,-22.461,-26.855,-20.020,0.000
1606398311.352,-15.137,-27.832,-33.203,-13.184,0.000
1606398311.356,-20.996,-23.926,-34.180,-18.066,0.000
1606398311.360,-31.738,-39.551,-31.738,-27.832,0.000
1606398311.364,-36.621,-52.246,-32.715,-34.668,0.000
1606398311.368,-39.062,-37.598,-37.598,-34.668,0.000
1606398311.372,-30.273,-23.438,-34.668,-24.414,0.000
1606398311.376,-19.531,-25.879,-23.926,-12.207,0.000
1606398311.379,-24.414,-35.645,-29.297,-24.414,0.000
1606398311.383,-41.016,-40.527,-38.086,-37.598,0.000
1606398311.387,-48.828,-40.527,-35.156,-33.691,0.000
1606398311.391,-40.527,-43.457,-33.203,-28.320,0.000
1606398311.395,-26.367,-39.062,-32.227,-19.043,0.000
1606398311.399,-27.832,-19.531,-25.879,-22.949,0.000
1606398311.403,-41.016,-7.324,-24.414,-43.457,0.000
1606398311.407,-42.480,-15.137,-29.785,-41.504,0.000
1606398311.411,-30.762,-35.645,-39.551,-20.996,0.000
1606398311.415,-20.508,-33.203,-44.922,-23.438,0.000
1606398311.418,-24.414,-24.414,-36.621,-30.273,0.000
1606398311.422,-30.762,-43.945,-30.273,-29.785,0.000
